iter	Passed	Remaining
403	6626	17975
404	6636	17943
405	6646	17910
406	6656	17877
407	6666	17843
408	6676	17809
409	6686	17777
410	6697	17745
411	6707	17712
412	6716	17678
413	6727	17646
414	6737	17615
415	6748	17584
416	6758	17553
417	6769	17521
418	6778	17489
419	6788	17457
420	6798	17425
421	6810	17397
422	6820	17366
423	6829	17332
424	6839	17300
425	6849	17268
426	6868	17260
427	6879	17232
428	6891	17204
429	6903	17179
430	6914	17149
431	6924	17118
432	6934	17087
433	6944	17056
434	6954	17026
435	6964	16996
436	6974	16966
437	6984	16934
438	6995	16908
439	7006	16878
440	7016	16848
441	7026	16818
442	7036	16788
443	7046	16758
444	7056	16728
445	7066	16698
446	7076	16669
447	7086	16639
448	7096	16611
449	7109	16589
450	7125	16573
451	7134	16542
452	7144	16513
453	7154	16484
454	7174	16477
455	7183	16447
456	7193	16418
457	7213	16410
458	7222	16380
459	7232	16352
460	7242	16322
461	7252	16293
462	7261	16264
463	7271	16235
464	7281	16208
465	7291	16179
466	7301	16150
467	7311	16122
468	7321	16095
469	7331	16066
470	7341	16039
471	7351	16010
472	7361	15982
473	7370	15953
474	7380	15925
475	7389	15897
476	7399	15870
477	7409	15842
478	7420	15816
479	7429	15788
480	7448	15779
481	7457	15750
482	7467	15723
483	7477	15695
484	7486	15668
485	7505	15659
486	7514	15631
487	7524	15604
488	7543	15596
489	7562	15588
490	7571	15560
491	7581	15532
492	7591	15506
493	7601	15479
494	7610	15452
495	7622	15429
496	7641	15421
497	7651	15394
498	7660	15367
499	7670	15341
500	7680	15315
501	7690	15289
502	7700	15262
503	7709	15235
504	7719	15208
505	7728	15182
506	7738	15156
507	7757	15147
508	7767	15122
509	7785	15112
510	7795	15087
511	7805	15061
512	7814	15035
513	7825	15011
514	7835	14986
515	7845	14960
516	7855	14935
517	7865	14911
518	7884	14902
519	7894	14878
520	7904	14854
521	7915	14829
522	7925	14804
523	7935	14780
524	7945	14755
525	7955	14730
526	7964	14704
527	7975	14681
528	7985	14657
529	7995	14633
530	8005	14608
531	8014	14583
532	8025	14559
533	8035	14536
534	8044	14511
535	8054	14485
536	8064	14461
537	8073	14436
538	8084	14413
539	8094	14390
540	8104	14366
541	8114	14343
542	8124	14319
543	8134	14295
544	8144	14271
545	8154	14247
546	8164	14224
547	8174	14201
548	8184	14177
549	8193	14153
550	8203	14128
551	8212	14103
552	8221	14079
553	8240	14071
554	8258	14062
555	8268	14038
556	8278	14015
557	8296	14005
558	8306	13982
559	8315	13958
560	8325	13934
561	8335	13911
562	8345	13888
563	8354	13865
564	8365	13843
565	8375	13820
566	8384	13797
567	8394	13774
568	8403	13750
569	8414	13728
570	8423	13704
571	8433	13682
572	8443	13659
573	8452	13636
574	8461	13612
575	8471	13589
576	8480	13565
577	8490	13544
578	8500	13521
579	8518	13512
580	8528	13489
581	8537	13466
582	8547	13444
583	8557	13422
584	8566	13399
585	8575	13376
586	8594	13366
587	8603	13344
588	8613	13322
589	8623	13300
590	8632	13278
591	8642	13255
592	8652	13233
593	8661	13210
594	8670	13188
595	8680	13166
596	8690	13144
597	8699	13121
598	8708	13099
599	8718	13077
600	8737	13069
601	8746	13047
602	8755	13024
603	8765	13002
604	8783	12993
605	8793	12972
606	8802	12950
607	8812	12928
608	8822	12907
609	8832	12886
610	8841	12864
611	8851	12843
612	8861	12822
613	8871	12801
614	8880	12779
615	8890	12758
616	8900	12737
617	8910	12716
618	8928	12707
619	8938	12686
620	8948	12666
621	8958	12646
622	8968	12624
623	8978	12604
624	8987	12583
625	8997	12562
626	9007	12540
627	9016	12519
628	9026	12498
629	9035	12478
630	9046	12459
631	9057	12440
632	9068	12420
633	9078	12400
634	9095	12390
635	9107	12372
636	9117	12352
637	9127	12332
638	9137	12312
639	9156	12304
640	9175	12296
641	9185	12275
642	9195	12255
643	9214	12247
644	9232	12238
645	9243	12219
646	9252	12198
647	9263	12179
648	9272	12158
649	9282	12138
650	9291	12118
651	9301	12097
652	9310	12076
653	9320	12056
654	9330	12036
655	9340	12016
656	9349	11996
657	9368	11988
658	9386	11978
659	9395	11958
660	9406	11939
661	9416	11919
662	9426	11900
663	9436	11880
664	9445	11860
665	9463	11850
666	9473	11831
667	9484	11812
668	9493	11792
669	9503	11773
670	9513	11753
671	9532	11745
672	9542	11725
673	9551	11705
674	9561	11686
675	9571	11667
676	9581	11647
677	9591	11628
678	9601	11609
679	9610	11589
680	9620	11570
681	9630	11550
682	9640	11532
683	9651	11513
684	9661	11494
685	9671	11476
686	9681	11457
687	9690	11437
688	9701	11419
689	9711	11400
690	9720	11380
691	9730	11361
692	9740	11342
693	9750	11323
694	9760	11305
695	9769	11286
696	9782	11270
697	9797	11257
698	9807	11238
699	9817	11220
700	9827	11201
701	9836	11181
702	9846	11163
703	9856	11144
704	9866	11126
705	9876	11107
706	9895	11099
707	9906	11081
708	9916	11063
709	9926	11044
710	9935	11025
711	9954	11016
712	9964	10998
713	9974	10980
714	9984	10962
715	9994	10944
716	10004	10925
717	10014	10907
718	10024	10889
719	10034	10870
720	10044	10852
721	10054	10834
722	10064	10816
723	10074	10797
724	10084	10779
725	10094	10761
726	10113	10753
727	10123	10735
